id_ativo,id_antivirus,nome
1,1,Bitdefender
2,2,Norton
3,3,ESET
4,4,Bitdefender
5,5,Bitdefender
6,6,Avast
7,7,AVG
8,8,ESET
9,9,Windows Defender
10,10,ESET
11,11,Bitdefender
12,12,AVG
13,13,Avast
14,14,McAfee
15,15,Avast
16,16,Windows Defender
17,17,McAfee
18,18,Avast
19,19,ESET
20,20,ESET
21,21,Windows Defender
22,22,Avast
23,23,AVG
24,24,Norton
25,25,Avast
26,26,Windows Defender
27,27,Avast
28,28,ESET
29,29,Bitdefender
30,30,AVG
31,31,Bitdefender
32,32,McAfee
33,33,Windows Defender
34,34,Windows Defender
35,35,ESET
36,36,Norton
37,37,Norton
38,38,Bitdefender
39,39,McAfee
40,40,Kaspersky
41,41,Bitdefender
42,42,Avast
43,43,Bitdefender
44,44,McAfee
45,45,Bitdefender
46,46,Norton
47,47,Norton
48,48,McAfee
49,49,Kaspersky
50,50,ESET
51,51,ESET
52,52,Norton
53,53,McAfee
54,54,Norton
55,55,AVG
56,56,Avast
57,57,ESET
58,58,Norton
59,59,Bitdefender
60,60,ESET
61,61,AVG
62,62,Avast
63,63,ESET
64,64,Avast
65,65,Kaspersky
66,66,Windows Defender
67,67,Norton
68,68,AVG
69,69,Kaspersky
70,70,ESET
71,71,Bitdefender
72,72,Kaspersky
73,73,Bitdefender
74,74,McAfee
75,75,AVG
76,76,Bitdefender
77,77,Norton
78,78,Bitdefender
79,79,ESET
80,80,AVG
81,81,ESET
82,82,McAfee
83,83,Kaspersky
84,84,Kaspersky
85,85,AVG
86,86,Norton
87,87,Kaspersky
88,88,McAfee
89,89,AVG
90,90,Norton
91,91,Norton
92,92,ESET
93,93,Windows Defender
94,94,McAfee
95,95,Windows Defender
96,96,ESET
97,97,Avast
98,98,Bitdefender
99,99,Windows Defender
100,100,Kaspersky
101,101,Bitdefender
102,102,Norton
103,103,Norton
104,104,McAfee
105,105,Windows Defender
106,106,Kaspersky
107,107,Avast
108,108,ESET
109,109,Avast
110,110,Avast
111,111,Kaspersky
112,112,Windows Defender
113,113,Bitdefender
114,114,McAfee
115,115,Avast
116,116,Bitdefender
117,117,Kaspersky
118,118,Windows Defender
119,119,AVG
120,120,Kaspersky
121,121,AVG
122,122,Norton
123,123,Avast
124,124,Avast
125,125,Norton
126,126,McAfee
127,127,McAfee
128,128,Kaspersky
129,129,Avast
130,130,Windows Defender
131,131,AVG
132,132,Bitdefender
133,133,Bitdefender
134,134,Norton
135,135,Windows Defender
136,136,McAfee
137,137,AVG
138,138,Kaspersky
139,139,Bitdefender
140,140,Kaspersky
141,141,McAfee
142,142,Norton
143,143,McAfee
144,144,Avast
145,145,Windows Defender
146,146,ESET
147,147,Kaspersky
148,148,Norton
149,149,Windows Defender
150,150,AVG
151,151,AVG
152,152,Bitdefender
153,153,ESET
154,154,Bitdefender
155,155,AVG
156,156,Norton
157,157,ESET
158,158,McAfee
159,159,AVG
160,160,AVG
161,161,Bitdefender
162,162,Bitdefender
163,163,Kaspersky
164,164,Norton
165,165,Windows Defender
166,166,Norton
167,167,Windows Defender
168,168,AVG
169,169,Bitdefender
170,170,Bitdefender
171,171,Windows Defender
172,172,Norton
173,173,Norton
174,174,Kaspersky
175,175,Avast
176,176,Avast
177,177,ESET
178,178,Kaspersky
179,179,McAfee
180,180,Bitdefender
181,181,Windows Defender
182,182,Kaspersky
183,183,Avast
184,184,Norton
185,185,Norton
186,186,McAfee
187,187,Bitdefender
188,188,ESET
189,189,ESET
190,190,Norton
191,191,ESET
192,192,AVG
193,193,McAfee
194,194,McAfee
195,195,AVG
196,196,Windows Defender
197,197,Windows Defender
198,198,Avast
199,199,Kaspersky
200,200,Bitdefender
201,201,Windows Defender
202,202,McAfee
203,203,Avast
204,204,Avast
205,205,McAfee
206,206,McAfee
207,207,Norton
208,208,AVG
209,209,Bitdefender
