id_usuario,id_ativo,nome,sistema_operacional_e_versao
1,1,MacBook,macOS Ventura
1,2,Servidor,Ubuntu 22.04
1,3,iPhone,iOS 16
2,4,iPhone,iOS 17
2,5,iPhone,iOS 16
2,6,Celular,Android 14
3,7,Servidor,Ubuntu 22.04
3,8,Notebook,Windows 11
4,9,Notebook,Windows 10
4,10,iPhone,iOS 16
5,11,Notebook,Windows 11
6,12,MacBook,macOS Monterey
6,13,MacBook,macOS Monterey
6,14,Notebook,Windows 11
7,15,MacBook,macOS Monterey
8,16,Celular,Android 14
8,17,Servidor,Ubuntu 22.04
8,18,Servidor,Ubuntu 20.04
9,19,Servidor,Ubuntu 22.04
9,20,iPhone,iOS 17
9,21,Celular,Android 13
10,22,Celular,Android 14
11,23,Notebook,Windows 10
11,24,Celular,Android 14
11,25,MacBook,macOS Monterey
12,26,Servidor,Ubuntu 22.04
12,27,iPhone,iOS 16
12,28,iPhone,iOS 16
13,29,Celular,Android 14
13,30,Servidor,Ubuntu 20.04
13,31,Notebook,Windows 10
14,32,Celular,Android 14
14,33,iPhone,iOS 17
14,34,Servidor,Ubuntu 20.04
15,35,Notebook,Windows 11
16,36,Celular,Android 14
16,37,Celular,Android 14
17,38,Celular,Android 14
17,39,Celular,Android 13
18,40,MacBook,macOS Ventura
19,41,iPhone,iOS 17
20,42,MacBook,macOS Monterey
21,43,Notebook,Windows 11
21,44,iPhone,iOS 16
21,45,MacBook,macOS Monterey
22,46,MacBook,macOS Ventura
22,47,Servidor,Ubuntu 22.04
22,48,Notebook,Windows 11
23,49,MacBook,macOS Ventura
23,50,Notebook,Windows 11
24,51,Celular,Android 14
24,52,iPhone,iOS 16
24,53,Notebook,Windows 11
25,54,Servidor,Ubuntu 20.04
26,55,Servidor,Ubuntu 22.04
27,56,Celular,Android 14
28,57,MacBook,macOS Ventura
29,58,MacBook,macOS Monterey
29,59,Celular,Android 13
29,60,MacBook,macOS Ventura
30,61,MacBook,macOS Monterey
30,62,Notebook,Windows 11
30,63,iPhone,iOS 16
31,64,Servidor,Ubuntu 22.04
31,65,Celular,Android 13
32,66,Servidor,Ubuntu 20.04
32,67,Servidor,Ubuntu 22.04
32,68,MacBook,macOS Ventura
33,69,Servidor,Ubuntu 22.04
34,70,Servidor,Ubuntu 20.04
34,71,Celular,Android 14
34,72,Servidor,Ubuntu 22.04
35,73,Celular,Android 14
35,74,Notebook,Windows 11
35,75,Celular,Android 14
36,76,iPhone,iOS 16
36,77,MacBook,macOS Ventura
37,78,Servidor,Ubuntu 22.04
37,79,Notebook,Windows 11
38,80,Celular,Android 14
38,81,MacBook,macOS Ventura
39,82,Celular,Android 13
39,83,Celular,Android 14
39,84,Celular,Android 13
40,85,MacBook,macOS Ventura
41,86,MacBook,macOS Ventura
41,87,Celular,Android 14
42,88,Notebook,Windows 10
43,89,MacBook,macOS Ventura
43,90,Servidor,Ubuntu 22.04
43,91,Servidor,Ubuntu 22.04
44,92,MacBook,macOS Monterey
45,93,MacBook,macOS Monterey
45,94,Servidor,Ubuntu 22.04
46,95,Servidor,Ubuntu 20.04
46,96,iPhone,iOS 17
47,97,MacBook,macOS Ventura
47,98,iPhone,iOS 16
48,99,Servidor,Ubuntu 20.04
48,100,Celular,Android 14
48,101,Notebook,Windows 11
49,102,MacBook,macOS Ventura
49,103,Servidor,Ubuntu 20.04
50,104,MacBook,macOS Ventura
51,105,iPhone,iOS 17
52,106,Notebook,Windows 11
52,107,Servidor,Ubuntu 22.04
53,108,iPhone,iOS 17
53,109,Celular,Android 14
53,110,iPhone,iOS 17
54,111,Notebook,Windows 11
54,112,Celular,Android 13
54,113,MacBook,macOS Ventura
55,114,iPhone,iOS 16
56,115,Celular,Android 14
57,116,Notebook,Windows 10
57,117,iPhone,iOS 17
58,118,Celular,Android 14
58,119,MacBook,macOS Monterey
59,120,Celular,Android 13
59,121,Celular,Android 14
59,122,MacBook,macOS Ventura
60,123,Notebook,Windows 10
60,124,iPhone,iOS 16
61,125,Notebook,Windows 11
61,126,Celular,Android 14
62,127,iPhone,iOS 17
63,128,MacBook,macOS Ventura
63,129,MacBook,macOS Ventura
63,130,iPhone,iOS 17
64,131,Celular,Android 13
64,132,Servidor,Ubuntu 20.04
64,133,iPhone,iOS 17
