id_usuario,id_incidente,descricao,duracao,data_e_hora,status
1,1,Phishing,384,2023-11-17 20:38:25,solucionado
2,2,DDoS Attack,2860,2024-09-25 21:13:42,não solucionado
3,3,Ransomware,3472,2024-10-19 12:54:11,solucionado
4,4,Account Takeover,3398,2024-03-28 03:05:39,não solucionado
5,5,Malware Detection,3504,2024-03-21 20:12:11,solucionado
5,6,Data Breach,3550,2025-02-05 08:57:41,não solucionado
5,7,Malware Detection,1557,2024-08-19 20:04:36,não solucionado
6,8,Data Breach,670,2024-07-07 19:06:17,solucionado
6,9,Zero-Day Exploit,1555,2024-05-05 18:20:19,solucionado
6,10,Account Takeover,2622,2024-03-02 22:35:24,solucionado
6,11,Data Breach,2805,2024-08-29 23:29:13,solucionado
6,12,Ransomware,3453,2024-09-15 18:17:45,não solucionado
7,13,Data Breach,2324,2023-07-15 07:46:52,não solucionado
8,14,SQL Injection,2391,2024-02-19 03:26:07,solucionado
8,15,SQL Injection,1483,2024-11-16 06:44:08,solucionado
8,16,Data Breach,567,2025-02-13 04:00:14,solucionado
8,17,Zero-Day Exploit,373,2023-08-06 05:03:30,solucionado
8,18,Phishing,3528,2023-07-29 22:36:49,não solucionado
9,19,Account Takeover,2267,2023-11-26 09:14:54,não solucionado
9,20,Phishing,2787,2023-06-04 15:04:43,solucionado
9,21,Malware Detection,2793,2025-02-23 20:27:45,não solucionado
9,22,Account Takeover,3149,2024-02-27 07:29:03,solucionado
9,23,Ransomware,457,2025-01-08 00:37:50,solucionado
10,24,DDoS Attack,2080,2023-10-11 02:38:56,não solucionado
10,25,Malware Detection,3566,2023-06-28 14:46:06,não solucionado
10,26,Account Takeover,3448,2025-03-03 07:35:59,não solucionado
10,27,Data Breach,627,2023-09-04 11:39:37,solucionado
10,28,Ransomware,3124,2024-06-18 04:44:28,solucionado
11,29,Phishing,987,2023-11-12 13:53:01,solucionado
11,30,Malware Detection,351,2023-07-12 14:07:00,solucionado
12,31,Data Breach,2921,2023-12-18 04:37:24,solucionado
12,32,Account Takeover,1635,2023-10-24 01:12:49,não solucionado
13,33,Data Breach,30,2024-01-06 21:05:22,solucionado
