id_ativo,id_plataforma,categoria
1,1,Social Media
2,2,Gaming
3,3,E-commerce
4,4,E-commerce
5,5,Email
6,6,Streaming
7,7,Social Media
8,8,E-commerce
9,9,Gaming
10,10,E-commerce
11,11,E-commerce
12,12,Social Media
13,13,Social Media
14,14,Streaming
15,15,Email
16,16,Email
17,17,Banco Digital
18,18,Gaming
19,19,Cloud Storage
20,20,E-commerce
21,21,Streaming
22,22,E-commerce
23,23,Streaming
24,24,E-commerce
25,25,Cloud Storage
26,26,Social Media
27,27,Social Media
28,28,Cloud Storage
29,29,E-commerce
30,30,E-commerce
31,31,Streaming
32,32,Social Media
33,33,Streaming
34,34,Cloud Storage
35,35,E-commerce
36,36,Social Media
37,37,Cloud Storage
38,38,Email
39,39,E-commerce
40,40,Social Media
41,41,E-commerce
42,42,Social Media
43,43,E-commerce
44,44,Banco Digital
45,45,E-commerce
46,46,Gaming
47,47,Banco Digital
48,48,Gaming
49,49,Cloud Storage
50,50,Gaming
51,51,Streaming
52,52,E-commerce
53,53,Gaming
54,54,Gaming
55,55,Gaming
56,56,Banco Digital
57,57,Banco Digital
58,58,Email
59,59,Streaming
60,60,E-commerce
61,61,Streaming
62,62,Gaming
63,63,Banco Digital
64,64,Streaming
65,65,Streaming
66,66,Streaming
67,67,Gaming
68,68,Streaming
69,69,E-commerce
70,70,Gaming
71,71,Email
72,72,Gaming
73,73,E-commerce
74,74,Email
75,75,Gaming
76,76,Email
77,77,Email
78,78,Gaming
79,79,Email
80,80,E-commerce
81,81,Cloud Storage
82,82,Gaming
83,83,Social Media
84,84,Streaming
85,85,Email
86,86,Cloud Storage
87,87,E-commerce
88,88,Streaming
89,89,Cloud Storage
90,90,Streaming
91,91,Banco Digital
92,92,Streaming
93,93,Gaming
94,94,Email
95,95,Cloud Storage
96,96,Streaming
97,97,Streaming
98,98,E-commerce
99,99,Gaming
100,100,Email
101,101,Banco Digital
102,102,Social Media
103,103,Banco Digital
104,104,E-commerce
105,105,Banco Digital
106,106,Streaming
107,107,Social Media
108,108,Social Media
109,109,Email
110,110,Email
111,111,Social Media
112,112,Email
113,113,E-commerce
